Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NHNXT03.5CCC,small SUV,5,19,26,22,5,No,411
ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NHNXT03.5CCC,small SUV,5,19,26,22,5,No,411
ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NHNXT03.5CCC,small SUV,5,19,25,21,4,No,423
ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NHNXT03.5CCC,small SUV,5,19,25,21,4,No,423
ACURA MDX Type-S,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NHNXT03.0HTC,standard SUV,5,17,21,19,4,No,474
ACURA MDX Type-S,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NHNXT03.0HTC,standard SUV,5,17,21,19,4,No,474
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NHNXV03.5EBN,small car,3,21,22,21,4,No,420
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NHNXV03.5EBN,small car,3,21,22,21,4,No,420
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NHNXT02.08VC,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NHNXT02.08VC,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NHNXT02.08VC,small SUV,6,21,27,23,5,No,385
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NHNXT02.08VC,small SUV,6,21,27,23,5,No,385
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NHNXT02.09VC,small SUV,6,22,27,24,5,No,375
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NHNXT02.09VC,small SUV,6,22,27,24,5,No,375
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,NHNXT02.09VC,small SUV,6,21,26,23,5,No,388
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,NHNXT02.09VC,small SUV,6,21,26,23,5,No,388
ACURA TLX,2,4,SemiAuto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0AEC,small car,7,22,31,25,5,No,352
ACURA TLX,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0AEC,small car,7,22,31,25,5,No,352
ACURA TLX,2,4,SemiAuto-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0AEC,small car,7,21,29,24,5,No,369
ACURA TLX,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0AEC,small car,7,21,29,24,5,No,369
ACURA TLX AWD A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0AEC,small car,7,21,29,24,5,No,371
ACURA TLX AWD A-SPEC,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0AEC,small car,7,21,29,24,5,No,371
ACURA TLX FWD A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NHNXV02.0AEC,small car,7,22,30,25,5,No,357
ACURA TLX FWD A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NHNXV02.0AEC,small car,7,22,30,25,5,No,357
ACURA TLX Type-S,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NHNXV03.0GCC,small car,5,19,25,21,4,No,420
ACURA TLX Type-S,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NHNXV03.0GCC,small car,5,19,25,21,4,No,420
ACURA TLX Type-S Perf Tire,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NHNXV03.0GCC,small car,5,19,24,21,4,No,421
ACURA TLX Type-S Perf Tire,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NHNXV03.0GCC,small car,5,19,24,21,4,No,421
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NCRXJ02.05P2,midsize car,5,24,33,27,6,No,330
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NCRXJ02.05P2,midsize car,5,24,33,27,6,No,330
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NCRXJ02.05P3,midsize car,3,24,33,27,6,No,330
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NCRXJ02.05P3,midsize car,3,24,33,27,6,No,330
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NCRXJ02.95P0,midsize car,3,17,25,20,4,No,436
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NCRXJ02.95P0,midsize car,3,17,25,20,4,No,436
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NCRXJ02.05P2,midsize car,5,23,31,26,5,No,348
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NCRXJ02.05P2,midsize car,5,23,31,26,5,No,348
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NCRXJ02.05P3,midsize car,3,23,31,26,5,No,348
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NCRXJ02.05P3,midsize car,3,23,31,26,5,No,348
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NCRXJ02.05P2,small SUV,5,22,29,25,5,No,359
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NCRXJ02.05P2,small SUV,5,22,29,25,5,No,359
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NCRXJ02.05P3,small SUV,3,22,29,25,5,No,359
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NCRXJ02.05P3,small SUV,3,22,29,25,5,No,359
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NCRXJ02.05P2,small SUV,5,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NCRXJ02.05P2,small SUV,5,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NCRXJ02.05P3,small SUV,3,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NCRXJ02.05P3,small SUV,3,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NCRXJ02.95P0,small SUV,3,17,23,19,4,No,463
ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NCRXJ02.95P0,small SUV,3,17,23,19,4,No,463
ASTON MARTIN DB11 V12,5.2,12,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NASXV05.2AM5,small car,3,14,22,17,3,No,522
ASTON MARTIN DB11 V12,5.2,12,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NASXV05.2AM5,small car,3,14,22,17,3,No,522
ASTON MARTIN DB11 V8,4,8,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NASXV04.0AES,small car,5,18,24,20,4,No,431
ASTON MARTIN DB11 V8,4,8,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NASXV04.0AES,small car,5,18,24,20,4,No,431
ASTON MARTIN DBS,5.2,12,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NASXV05.2AM5,small car,3,14,22,17,3,No,522
ASTON MARTIN DBS,5.2,12,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NASXV05.2AM5,small car,3,14,22,17,3,No,522
ASTON MARTIN DBX V8,4,8,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NASXJ04.0AEX,standard SUV,5,14,20,16,3,No,556
ASTON MARTIN DBX V8,4,8,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NASXJ04.0AEX,standard SUV,5,14,20,16,3,No,556
ASTON MARTIN Vantage,4,8,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NASXV04.0AES,small car,5,18,24,20,4,No,435
ASTON MARTIN Vantage,4,8,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NASXV04.0AES,small car,5,18,24,20,4,No,435
AUDI A3,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAV02.0A3B,small car,7,29,38,32,7,Yes,273
AUDI A3,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAV02.0A3B,small car,7,29,38,32,7,Yes,273
AUDI A3,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAV02.0A3B,small car,7,28,36,31,7,Yes,286
AUDI A3,2,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAV02.0A3B,small car,7,28,36,31,7,Yes,286
AUDI A4,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7E,small car,5,26,34,29,6,No,307
AUDI A4,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7E,small car,5,26,34,29,6,No,307
AUDI A4 S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,small car,5,24,31,27,6,No,332
AUDI A4 S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,small car,5,24,31,27,6,No,332
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,station wagon,5,24,30,26,5,No,335
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,station wagon,5,24,30,26,5,No,335
AUDI A5,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,small car,5,24,31,27,6,No,332
AUDI A5,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,small car,5,24,31,27,6,No,332
AUDI A5 Cabriolet,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,small car,5,23,31,26,5,No,345
AUDI A5 Cabriolet,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,small car,5,23,31,26,5,No,345
AUDI A5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,midsize car,5,24,31,27,6,No,332
AUDI A5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,midsize car,5,24,31,27,6,No,332
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7E,midsize car,5,26,34,29,6,No,307
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7E,midsize car,5,26,34,29,6,No,307
AUDI A6,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,midsize car,5,23,32,26,5,No,335
AUDI A6,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,midsize car,5,23,32,26,5,No,335
AUDI A6,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAV03.0N7N,midsize car,5,21,30,24,5,No,361
AUDI A6,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAV03.0N7N,midsize car,5,21,30,24,5,No,361
AUDI A6 Allroad quattro,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAV03.0N7N,station wagon,5,21,28,23,5,No,377
AUDI A6 Allroad quattro,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAV03.0N7N,station wagon,5,21,28,23,5,No,377
AUDI A7,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAV03.0N7N,midsize car,5,21,30,24,5,No,361
AUDI A7,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAV03.0N7N,midsize car,5,21,30,24,5,No,361
AUDI A7 TFSI e quattro,2,4,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NVGAJ02.0A3P,midsize car,7,25/66,31/75,27/70,10,Yes,126
AUDI A7 TFSI e quattro,2,4,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NVGAJ02.0A3P,midsize car,7,25/66,31/75,27/70,10,Yes,126
AUDI A8 L quattro,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ03.0N7M,large car,5,19,28,22,5,No,399
AUDI A8 L quattro,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ03.0N7M,large car,5,19,28,22,5,No,399
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAJ02.0A3T,small SUV,7,23,30,26,5,No,346
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAJ02.0A3T,small SUV,7,23,30,26,5,No,346
AUDI Q3 S line quattro,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAJ02.0A3T,small SUV,7,21,28,24,5,No,375
AUDI Q3 S line quattro,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAJ02.0A3T,small SUV,7,21,28,24,5,No,375
AUDI Q4 e-tron Sportback quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite,0
AUDI Q4 e-tron Sportback quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite,0
AUDI Q4 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite,0
AUDI Q4 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NVGAT00.0NZ5,standard SUV,10,100,89,95,10,Elite,0
AUDI Q5 S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,small SUV,5,23,28,25,5,No,354
AUDI Q5 S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,small SUV,5,23,28,25,5,No,354
AUDI Q5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,small SUV,5,23,28,25,5,No,354
AUDI Q5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,small SUV,5,23,28,25,5,No,354
AUDI Q5 TFSI e quattro,2,4,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,NVGAJ02.0A3P,small SUV,7,25/60,27/61,26/61,10,Yes,148
AUDI Q5 TFSI e quattro,2,4,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,NVGAJ02.0A3P,small SUV,7,25/60,27/61,26/61,10,Yes,148
AUDI Q5 quattro,2,4,AutoMan-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7E,small SUV,5,23,29,25,5,No,349
AUDI Q5 quattro,2,4,AutoMan-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7E,small SUV,5,23,29,25,5,No,349
AUDI Q7 quattro,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NVGAT02.0AA7,standard SUV,3,20,25,22,5,No,406
AUDI Q7 quattro,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NVGAT02.0AA7,standard SUV,3,20,25,22,5,No,406
AUDI Q7 quattro,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ03.0N7M,standard SUV,5,18,23,20,4,No,440
AUDI Q7 quattro,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ03.0N7M,standard SUV,5,18,23,20,4,No,440
AUDI Q8 quattro,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ03.0N7M,standard SUV,5,18,23,20,4,No,440
AUDI Q8 quattro,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ03.0N7M,standard SUV,5,18,23,20,4,No,440
AUDI R8 Coupe,5.2,10,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,NVGAV05.2NBE,small car,1,14,23,17,3,No,518
AUDI R8 Coupe,5.2,10,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,NVGAV05.2NBE,small car,1,14,23,17,3,No,518
AUDI R8 Coupe,5.2,10,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,NVGAV05.2NBE,small car,1,13,19,15,2,No,572
AUDI R8 Coupe,5.2,10,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,NVGAV05.2NBE,small car,1,13,19,15,2,No,572
AUDI R8 Spyder,5.2,10,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,NVGAV05.2NBE,small car,1,14,23,17,3,No,518
AUDI R8 Spyder,5.2,10,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,NVGAV05.2NBE,small car,1,14,23,17,3,No,518
AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,NVGAV05.2NBE,small car,1,13,19,15,2,No,572
AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,NVGAV05.2NBE,small car,1,13,19,15,2,No,572
AUDI RS 5 Coupe,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ03.0N7F,small car,5,18,25,21,4,No,430
AUDI RS 5 Coupe,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ03.0N7F,small car,5,18,25,21,4,No,430
AUDI RS 5 Sportback,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ03.0N7F,midsize car,5,18,25,21,4,No,431
AUDI RS 5 Sportback,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ03.0N7F,midsize car,5,18,25,21,4,No,431
AUDI RS 6 Avant,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NVGAJ04.0NAT,station wagon,3,15,22,17,3,No,514
AUDI RS 6 Avant,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NVGAJ04.0NAT,station wagon,3,15,22,17,3,No,514
AUDI RS 7,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NVGAJ04.0NAT,midsize car,3,15,22,17,3,No,507
AUDI RS 7,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NVGAJ04.0NAT,midsize car,3,15,22,17,3,No,507
AUDI RS Q8,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NVGAJ04.0NAT,standard SUV,3,13,19,15,2,No,579
AUDI RS Q8,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NVGAJ04.0NAT,standard SUV,3,13,19,15,2,No,579
AUDI RS e-tron GT,N/A,N/A,Auto-2,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NVGAV00.0AZG,midsize car,10,79,82,81,10,Elite,0
AUDI RS e-tron GT,N/A,N/A,Auto-2,4WD,Electricity,CA,ZEV,California ZEV,NVGAV00.0AZG,midsize car,10,79,82,81,10,Elite,0
AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NVGAV02.5NAG,small car,3,20,29,23,5,No,383
AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NVGAV02.5NAG,small car,3,20,29,23,5,No,383
AUDI S3,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAV02.0A7N,small car,5,23,32,27,6,No,331
AUDI S3,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAV02.0A7N,small car,5,23,32,27,6,No,331
AUDI S4,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ03.0N7F,small car,5,21,30,24,5,No,363
AUDI S4,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ03.0N7F,small car,5,21,30,24,5,No,363
AUDI S5 Cabriolet,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ03.0N7F,small car,5,21,28,23,5,No,375
AUDI S5 Cabriolet,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ03.0N7F,small car,5,21,28,23,5,No,375
AUDI S5 Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ03.0N7F,small car,5,21,30,24,5,No,363
AUDI S5 Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ03.0N7F,small car,5,21,30,24,5,No,363
AUDI S5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ03.0N7F,midsize car,5,21,30,24,5,No,363
AUDI S5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ03.0N7F,midsize car,5,21,30,24,5,No,363
AUDI S6,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAV03.0N7N,midsize car,5,18,28,22,5,No,408
AUDI S6,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAV03.0N7N,midsize car,5,18,28,22,5,No,408
AUDI S7,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAV03.0N7N,midsize car,5,18,28,22,5,No,408
AUDI S7,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAV03.0N7N,midsize car,5,18,28,22,5,No,408
AUDI S8,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NVGAJ04.0NAT,large car,3,14,23,17,3,No,520
AUDI S8,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NVGAJ04.0NAT,large car,3,14,23,17,3,No,520
AUDI SQ5,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ03.0N7F,small SUV,5,19,24,21,4,No,422
AUDI SQ5,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ03.0N7F,small SUV,5,19,24,21,4,No,422
AUDI SQ5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ03.0N7F,small SUV,5,19,24,21,4,No,422
AUDI SQ5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ03.0N7F,small SUV,5,19,24,21,4,No,422
AUDI SQ7,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NVGAT04.0NAV,standard SUV,3,15,21,17,3,No,522
AUDI SQ7,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NVGAT04.0NAV,standard SUV,3,15,21,17,3,No,522
AUDI SQ8,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NVGAT04.0NAV,standard SUV,3,15,21,17,3,No,522
