Region,Parameter,Mode,Powertrain,Year,Unit,Value
United Kingdom,EV sales,Cars,PHEV,2018,sales,35000
United Kingdom,EV sales,Cars,PHEV,2019,sales,37000
United Kingdom,EV sales,Cars,BEV,2019,sales,38000
United Kingdom,EV sales,Cars,BEV,2020,sales,110000
United Kingdom,EV sales,Cars,PHEV,2020,sales,67000
United Kingdom,EV sales,Cars,PHEV,2021,sales,120000
United Kingdom,EV sales,Cars,BEV,2021,sales,190000
USA,EV sales,Cars,BEV,2010,sales,1200
USA,EV sales,Cars,BEV,2011,sales,9800
USA,EV sales,Cars,PHEV,2011,sales,8000
USA,EV sales,Cars,PHEV,2012,sales,39000
USA,EV sales,Cars,BEV,2012,sales,15000
USA,EV sales,Cars,BEV,2013,sales,48000
USA,EV sales,Cars,PHEV,2013,sales,49000
USA,EV sales,Cars,PHEV,2014,sales,55000
USA,EV sales,Cars,BEV,2014,sales,63000
USA,EV sales,Cars,BEV,2015,sales,71000
USA,EV sales,Cars,PHEV,2015,sales,43000
USA,EV sales,Cars,PHEV,2016,sales,73000
USA,EV sales,Cars,BEV,2016,sales,87000
USA,EV sales,Cars,BEV,2017,sales,100000
USA,EV sales,Cars,PHEV,2017,sales,94000
USA,EV sales,Cars,PHEV,2018,sales,120000
USA,EV sales,Cars,BEV,2018,sales,240000
USA,EV sales,Cars,BEV,2019,sales,240000
USA,EV sales,Cars,PHEV,2019,sales,85000
USA,EV sales,Cars,PHEV,2020,sales,64000
USA,EV sales,Cars,BEV,2020,sales,230000
USA,EV sales,Cars,BEV,2021,sales,470000
USA,EV sales,Cars,PHEV,2021,sales,160000
World,EV sales,Cars,BEV,2010,sales,7400
World,EV sales,Cars,PHEV,2010,sales,380
World,EV sales,Cars,BEV,2011,sales,40000
World,EV sales,Cars,PHEV,2011,sales,9100
World,EV sales,Cars,BEV,2012,sales,59000
World,EV sales,Cars,PHEV,2012,sales,61000
World,EV sales,Cars,BEV,2013,sales,110000
World,EV sales,Cars,PHEV,2013,sales,92000
World,EV sales,Cars,BEV,2014,sales,190000
World,EV sales,Cars,PHEV,2014,sales,130000
World,EV sales,Cars,BEV,2015,sales,330000
World,EV sales,Cars,PHEV,2015,sales,220000
World,EV sales,Cars,BEV,2016,sales,470000
World,EV sales,Cars,PHEV,2016,sales,290000
World,EV sales,Cars,BEV,2017,sales,760000
World,EV sales,Cars,PHEV,2017,sales,420000
World,EV sales,Cars,BEV,2018,sales,1400000
World,EV sales,Cars,PHEV,2018,sales,640000
World,EV sales,Cars,BEV,2019,sales,1500000
World,EV sales,Cars,PHEV,2019,sales,580000
World,EV sales,Cars,BEV,2020,sales,2000000
World,EV sales,Cars,PHEV,2020,sales,980000
World,EV sales,Cars,BEV,2021,sales,4700000
World,EV sales,Cars,PHEV,2021,sales,1900000
