county,manufacturer,model,no_of_model_sold
WASHINGTON,Hyundai,IONIQ Electric,67
WASHINGTON,ZERO,FXS,3
WHEELER,Tesla,Model S,1
YAMHILL,Lincoln,Aviator,2
YAMHILL,BMW,3 Series,1
YAMHILL,Chrysler,Pacifica Hybrid,19
YAMHILL,Tesla,Model 3,135
YAMHILL,AMIC,UNKNOWN,1
YAMHILL,BMW,i3,5
YAMHILL,MINI,Countryman Plug-in Hybrid,2
YAMHILL,Hyundai,IONIQ Electric,1
YAMHILL,Jaguar,I-PACE,1
YAMHILL,Nissan,LEAF,92
YAMHILL,Chevrolet,Spark EV,12
YAMHILL,Ford,C-MAX Energi,20
YAMHILL,Kia,Niro EV,10
YAMHILL,Kia,Sorento Plug-In Hybrid,4
YAMHILL,Toyota,Prius Plug-in Hybrid,6
YAMHILL,Porsche,Taycan,4
YAMHILL,Mercedes-Benz,GLC,1
YAMHILL,Volkswagen,e-Golf,10
YAMHILL,Ford,Focus,1
YAMHILL,Subaru,Crosstrek,6
YAMHILL,AECI,UNKNOWN,1
YAMHILL,BMW,X3,2
YAMHILL,Tesla,Model X,25
YAMHILL,Jeep,Wrangler Unlimited,14
YAMHILL,Audi,e-tron Sportback,1
YAMHILL,Ford,TH!NK,1
YAMHILL,MINI,Hardtop 2 Door,1
YAMHILL,Chevrolet,Bolt EV,48
YAMHILL,FIAT,500e,1
YAMHILL,Chevrolet,Bolt EUV,3
YAMHILL,HD,ELW,1
YAMHILL,BMW,X5,10
YAMHILL,Ford,Fusion Energi,21
YAMHILL,Honda,Clarity Plug-In Hybrid,11
YAMHILL,Ford,Mustang Mach-E,26
YAMHILL,Tesla,Model Y,79
YAMHILL,Hyundai,IONIQ 5,8
YAMHILL,Kia,Niro Plug-In Hybrid,4
YAMHILL,Audi,Q5,4
YAMHILL,Kia,Soul EV,2
YAMHILL,Audi,e-tron,8
YAMHILL,Volvo,XC90,6
YAMHILL,Ford,Escape Plug-In Hybrid,11
YAMHILL,ZERO,UNKNOWN,2
YAMHILL,Volvo,XC40,5
YAMHILL,Hyundai,KONA Electric,23
YAMHILL,Ferrari,SF90 Spider,1
YAMHILL,ZAPP,UNKNOWN,1
YAMHILL,Toyota,RAV4 Prime,46
YAMHILL,Rivian,R1T,1
YAMHILL,Polestar,2,2
YAMHILL,Volvo,XC60,4
YAMHILL,Hyundai,SANTA FE Plug-In Hybrid,2
YAMHILL,Volkswagen,ID.4,6
YAMHILL,Toyota,Prius Prime,59
YAMHILL,Chevrolet,Volt,35
YAMHILL,Mitsubishi,Outlander PHEV,6
YAMHILL,Smart,fortwo electric drive,1
YAMHILL,Mercedes-Benz,B-Class,1
YAMHILL,Tesla,Model S,30
YAMHILL,Hyundai,IONIQ Plug-in Hybrid,6
YAMHILL,Audi,A3 Sportback e-tron,2
YAMHILL,Porsche,Cayenne,3
YAMHILL,Kia,EV6,8
YAMHILL,BMW,5 Series,3
YAMHILL,ELVT,UNKNOWN,1
